approach,mode,max_number,workers,total_sum,execution_time_sec,result_type,comment
threading,B,100000000,4,5000000050000000,2.246002,real,"CPU-bound задача, запуск через threading"
async,B,100000000,4,5000000050000000,2.223165,real,"CPU-bound задача, async-реализация"
threading,B,5000000000,4,12500000002500000000,219.993373,real,"CPU-bound задача, запуск через threading"
async,B,5000000000,4,12500000002500000000,207.135144,real,"CPU-bound задача, async-реализация"
multiprocessing,B,5000000000,4,12500000002500000000,67.381735,real,"CPU-bound задача, запуск через multiprocessing"
threading,B,5000000000,1,12500000002500000000,274.764112,real,"CPU-bound задача, запуск через threading"
async,B,5000000000,1,12500000002500000000,285.872476,real,"CPU-bound задача, async-реализация"
multiprocessing,B,5000000000,1,12500000002500000000,293.219414,real,"CPU-bound задача, запуск через multiprocessing"
threading,B,5000000000,2,12500000002500000000,264.154668,real,"CPU-bound задача, запуск через threading"
async,B,5000000000,2,12500000002500000000,266.999968,real,"CPU-bound задача, async-реализация"
multiprocessing,B,5000000000,2,12500000002500000000,138.951895,real,"CPU-bound задача, запуск через multiprocessing"
threading,B,5000000000,4,12500000002500000000,212.847332,real,"CPU-bound задача, запуск через threading"
async,B,5000000000,4,12500000002500000000,210.054447,real,"CPU-bound задача, async-реализация"
multiprocessing,B,5000000000,4,12500000002500000000,72.743935,real,"CPU-bound задача, запуск через multiprocessing"
threading,B,5000000000,8,12500000002500000000,193.541507,real,"CPU-bound задача, запуск через threading"
async,B,5000000000,8,12500000002500000000,190.033356,real,"CPU-bound задача, async-реализация"
multiprocessing,B,5000000000,8,12500000002500000000,49.125196,real,"CPU-bound задача, запуск через multiprocessing"
threading,B,5000000000,16,12500000002500000000,192.763290,real,"CPU-bound задача, запуск через threading"
async,B,5000000000,16,12500000002500000000,190.771226,real,"CPU-bound задача, async-реализация"
multiprocessing,B,5000000000,16,12500000002500000000,37.895271,real,"CPU-bound задача, запуск через multiprocessing"
